APCOTEXIND,20210302,184.8,185.75,180.05,181.3,110052
APEX,20210302,242.8,250,241.25,246.4,59725
APLAPOLLO,20210302,1116,1167,1110,1157.4,697954
APLLTD,20210302,928.9,940,922.75,935.25,271111
APOLLO,20210302,111.6,114.85,110.95,113.95,230201
APOLLOHOSP,20210302,3105.5,3152,3067.4,3087.3,944553
APOLLOPIPE,20210302,723.1,730.95,711.9,726.8,37186
APOLLOTYRE,20210302,247,247.85,242.05,246.35,7076813
APOLSINHOT,20210302,543,556.95,542,553.75,1273
APTECHT,20210302,231.25,233.95,224.15,225.25,365755
ARCHIDPLY,20210302,36.65,36.7,35.05,36.5,10954
ARCHIES,20210302,11.8,12.2,11.5,12.1,66514
ARENTERP,20210302,11.4,12.2,11.15,11.15,11741
ARIES,20210302,98,100.1,94.85,96,84428
ARIHANT,20210302,23.85,23.85,22.55,22.6,2437
ARIHANTSUP,20210302,38.15,41.35,38.15,38.95,34385
ARMANFIN,20210302,599.75,615.6,592.9,613.6,26675
AROGRANITE,20210302,47.15,51.95,46.8,51.2,406674
ARROWGREEN,20210302,78.95,82.45,76,76.2,12481
ARSHIYA,20210302,37.85,37.85,37.85,37.85,35100
ARSSINFRA,20210302,24.8,24.85,23.5,23.95,31177
ARTEMISMED,20210302,232.9,233,226.3,231.15,1993
ARVIND,20210302,79.5,79.95,76.85,77.55,955941
ARVINDFASN,20210302,160.95,160.95,157.5,158.55,196291
ARVSMART,20210302,100.1,102.15,99.8,100.3,154826
ASAHIINDIA,20210302,292,295,291,294.35,24116
ASAHISONG,20210302,284.85,289,279,281.6,14321
ASAL,20210302,38.1,38.1,37.4,38.1,8452
ASALCBR,20210302,357,357.5,349.1,356.5,51736
ASHAPURMIN,20210302,117.35,118.95,116,116.75,137695
ASHIANA,20210302,119,121,115.65,119.9,129586
ASHIMASYN,20210302,15.7,16.6,15.3,16.05,354904
ASHOKA,20210302,112.8,113.45,110.2,110.7,1097255
ASHOKLEY,20210302,130.75,133.95,128.7,132.55,26856241
ASIANHOTNR,20210302,71.9,72.9,70.55,71.8,6327
ASIANPAINT,20210302,2386,2402.55,2359,2390.4,2033586
ASIANTILES,20210302,193,194.7,187.7,190.55,285252
ASPINWALL,20210302,163.7,171.95,163.45,164.8,2888
ASTEC,20210302,1045,1107.25,1040.45,1058.65,48498
ASTERDM,20210302,144.5,145.8,142.25,144.25,148677
ASTRAL,20210302,2220.45,2220.45,2175.1,2195.4,91370
ASTRAMICRO,20210302,123.7,124.9,118.5,121.55,1032190
ASTRAZEN,20210302,3472,3493.85,3441,3470.15,24051
ASTRON,20210302,44.95,46.65,43.4,44.95,180759
ATFL,20210302,805.55,837,805.55,822.45,7216
ATGL,20210302,530,584.45,528.05,574.3,3268799
ATLANTA,20210302,8.15,8.4,8.05,8.2,29846
ATUL,20210302,6620,6640.05,6519.6,6623.7,16911
ATULAUTO,20210302,210,215.95,205.4,206.65,469694
AUBANK,20210302,1159.9,1175,1141.6,1151.5,410197
AURIONPRO,20210302,80.8,82.5,80.2,80.65,17553
AUROPHARMA,20210302,885,889,868.75,885.9,2231920
AUSOMENT,20210302,49.15,52.1,49.1,51.5,18350
AUTOAXLES,20210302,1172.05,1213,1172.05,1210.7,14014
AUTOIND,20210302,31.85,33.4,31.85,33.4,32190
AVADHSUGAR,20210302,195,204,194,199.7,189234
AVANTIFEED,20210302,488,488.85,480.2,484.85,163894
AVTNPL,20210302,45.15,46,44.7,45.75,134799
AWHCL,20210302,303,304.5,299,300.35,130795
AXISBANK,20210302,730.45,740.5,722,731.25,14503453
AXISBNKETF,20210302,354,356,349.58,355.61,720
AXISCADES,20210302,49.95,49.95,46.45,46.7,138135
AXISGOLD,20210302,39.9,39.9,39.4,39.58,438777
AXISNIFTY,20210302,153.01,159.2,153.01,155.16,8578
AYMSYNTEX,20210302,52.9,52.9,48.9,49.05,42848
BAFNAPH,20210302,125.95,126,119.1,120.4,1981
BAGFILMS,20210302,2.8,2.8,2.6,2.7,142807
BAJAJ-AUTO,20210302,3822,3962.15,3781.5,3944.05,735847
BAJAJCON,20210302,247.9,248.7,245.5,248.1,281246
BAJAJELEC,20210302,997.8,1025,990.45,999.15,209964
BAJAJFINSV,20210302,9850,9965,9779.1,9877,297001
BAJAJHIND,20210302,6.4,6.6,6.35,6.5,5796539
BAJAJHLDNG,20210302,3598,3695.5,3595,3684.15,23336
BAJFINANCE,20210302,5300,5410,5262.05,5316.3,2208634
BALAJITELE,20210302,60.85,61.4,59.65,59.9,228463
BALAMINES,20210302,1696.95,1905.55,1696.95,1867.3,689744
BALAXI,20210302,595.85,595.85,595.85,595.85,962
BALKRISHNA,20210302,18,19.8,18,19.6,15815
BALKRISIND,20210302,1600,1630,1580.05,1627.55,748113
BALMLAWRIE,20210302,128.1,133.4,127.15,128.85,2179283
BALPHARMA,20210302,53.8,55.8,53,53.35,32471
BALRAMCHIN,20210302,182.2,193.3,181.55,189.1,5405774
BANARBEADS,20210302,58.9,58.9,55.5,55.85,20100
BANARISUG,20210302,1799,1838,1775.6,1798.2,2571
BANCOINDIA,20210302,155.4,159.5,154,156.45,179478
